job_role,total_employees,voluntary_count,involuntary_count,voluntary_rate_pct,involuntary_rate_pct
"QA Engineer",6,3,0,50.0,0.0
"Process Associate",11,5,0,45.5,0.0
"Marketing Manager",7,2,0,28.6,0.0
"Business Development Associate",11,3,0,27.3,0.0
"Finance Analyst",8,2,0,25.0,0.0
"Operations Manager",8,2,2,25.0,25.0
"Sales Executive",12,3,2,25.0,16.7
"Finance Manager",8,2,1,25.0,12.5
"Team Lead - Support",9,2,1,22.2,11.1
"IT Support Executive",9,2,2,22.2,22.2
"Quality Analyst",15,3,3,20.0,20.0
"Accounts Executive",11,2,1,18.2,9.1
"Sales Manager",6,1,1,16.7,16.7
"HR Manager",7,1,3,14.3,42.9
"Operations Executive",7,1,2,14.3,28.6
"Digital Marketing Specialist",7,1,3,14.3,42.9
"Marketing Executive",13,1,2,7.7,15.4
"Customer Support Executive",5,0,0,0.0,0.0
"Software Engineer",7,0,1,0.0,14.3
"Talent Acquisition Specialist",9,0,0,0.0,0.0
